City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Cidreira,BR,-30.18,-50.21,63.27,79,100,12.17,overcast clouds,0.0,0
1,Georgetown,MY,5.41,100.34,86.0,70,20,10.29,few clouds,0.0,0
2,Rikitea,PF,-23.12,-134.97,66.65,73,61,20.58,broken clouds,0.0,0
3,Airai,TL,-8.93,125.41,67.95,61,73,4.85,broken clouds,0.0,0
4,Busselton,AU,-33.65,115.33,63.0,35,27,15.28,scattered clouds,0.0,0
5,Castro,BR,-24.79,-50.01,54.75,89,23,2.91,few clouds,0.0,0
6,Kapaa,US,22.08,-159.32,77.0,88,40,11.77,scattered clouds,0.0,0
7,Port Elizabeth,ZA,-33.92,25.57,51.8,100,20,4.59,fog,0.0,0
8,Bredasdorp,ZA,-34.53,20.04,55.4,93,1,5.82,clear sky,0.0,0
9,Ratnagiri,IN,16.98,73.3,84.33,78,100,7.85,overcast clouds,0.0,0
10,Amahai,ID,-3.33,128.92,80.49,78,85,9.89,light rain,0.11,0
11,Rawson,AR,-43.3,-65.1,40.62,72,100,12.08,overcast clouds,0.0,0
12,Vao,NC,-22.67,167.48,68.34,77,90,21.14,overcast clouds,0.0,0
13,Bluff,NZ,-46.6,168.33,39.0,83,42,3.0,scattered clouds,0.0,0
14,Jacksonville,US,30.33,-81.66,80.6,83,20,8.05,few clouds,0.0,0
15,Iroquois Falls,CA,48.77,-80.68,53.6,100,20,1.81,few clouds,0.0,0
16,Progreso,MX,21.28,-89.67,77.0,88,40,4.7,scattered clouds,0.0,0
17,Puerto Ayora,EC,-0.74,-90.35,66.99,97,96,5.01,overcast clouds,0.0,0
18,Chuy,UY,-33.7,-53.46,63.97,96,100,7.52,light rain,0.38,0
19,Hobart,AU,-42.88,147.33,53.01,62,75,6.93,broken clouds,0.0,0
20,Chokurdakh,RU,70.63,147.92,88.97,31,82,9.17,broken clouds,0.0,0
21,Albany,US,42.6,-73.97,73.0,92,100,2.35,overcast clouds,0.0,0
22,Bonthe,SL,7.53,-12.51,76.17,89,98,5.03,light rain,0.48,0
23,Luderitz,NA,-26.65,15.16,60.8,36,0,1.12,clear sky,0.0,0
24,Ushuaia,AR,-54.8,-68.3,39.2,60,75,10.29,broken clouds,0.0,0
25,Honiara,SB,-9.43,159.95,87.8,62,75,13.87,broken clouds,0.0,0
26,Antalaha,MG,-14.9,50.28,74.3,64,94,17.69,overcast clouds,0.0,0
27,Svetlaya,RU,46.54,138.33,63.01,82,100,5.44,overcast clouds,0.0,0
28,East London,ZA,-33.02,27.91,50.0,61,0,5.82,clear sky,0.0,0
29,Mitsamiouli,KM,-11.38,43.28,75.2,69,40,11.41,scattered clouds,0.0,0
30,Teknaf,BD,20.86,92.31,81.37,86,100,9.98,moderate rain,2.21,0
31,Sabang,ID,5.89,95.32,83.12,72,99,11.05,overcast clouds,0.0,0
32,Pyaozerskiy,RU,65.83,31.17,60.49,92,100,9.55,overcast clouds,0.0,0
33,Qaanaaq,GL,77.48,-69.36,45.21,58,0,5.95,clear sky,0.0,0
34,Bellinzona,CH,46.19,9.02,66.2,88,0,4.7,clear sky,0.0,0
35,Pangai,TO,-19.8,-174.35,73.4,64,40,11.41,scattered clouds,0.0,0
36,Dingle,PH,11.0,122.67,89.22,64,100,7.49,overcast clouds,0.0,0
37,Buriti,BR,-22.93,-45.39,55.99,82,2,1.83,clear sky,0.0,0
38,New Norfolk,AU,-42.78,147.06,53.01,80,100,3.0,overcast clouds,0.0,0
39,Cape Town,ZA,-33.93,18.42,46.99,100,90,4.7,fog,0.0,0
40,Znamenskoye,RU,57.13,73.83,67.05,41,0,7.47,clear sky,0.0,0
41,Erenhot,CN,43.65,111.98,91.8,20,98,9.73,overcast clouds,0.0,0
42,Atuona,PF,-9.8,-139.03,79.48,72,42,18.3,scattered clouds,0.0,0
43,Sorland,NO,67.67,12.69,53.6,81,75,20.8,shower rain,0.0,0
44,Gobabis,NA,-22.45,18.97,41.0,48,0,2.24,clear sky,0.0,0
45,Malindi,KE,-3.22,40.12,80.6,65,40,12.75,scattered clouds,0.0,0
46,Kaeo,NZ,-35.1,173.78,53.01,3,99,7.99,overcast clouds,0.0,0
47,Saint-Philippe,RE,-21.36,55.77,68.0,82,75,26.4,broken clouds,0.0,0
48,Mataura,NZ,-46.19,168.86,39.0,83,85,3.0,overcast clouds,0.0,0
49,Esperance,AU,-33.87,121.9,60.8,55,75,27.51,broken clouds,0.0,0
50,Thompson,CA,55.74,-97.86,68.0,72,40,4.7,scattered clouds,0.0,0
51,Punta Arenas,CL,-53.15,-70.92,32.0,91,96,11.41,overcast clouds,0.0,0
52,Kaitangata,NZ,-46.28,169.85,39.0,74,8,7.0,clear sky,0.0,0
53,Bethel,US,41.37,-73.41,71.6,94,1,3.65,clear sky,0.0,0
54,Lata,PT,40.16,-8.33,64.99,100,90,2.24,mist,0.0,0
55,Longyearbyen,SJ,78.22,15.64,46.4,81,75,5.82,broken clouds,0.0,0
56,Sungairaya,ID,0.7,108.9,78.64,86,100,8.37,light rain,0.12,0
57,Butaritari,KI,3.07,172.79,83.62,76,0,15.35,clear sky,0.0,0
58,Goma,CD,-1.68,29.22,60.8,77,40,9.17,scattered clouds,0.0,0
59,Saint Anthony,US,45.02,-93.22,62.01,93,1,2.91,mist,0.0,0
60,Grimshaw,CA,56.18,-117.6,57.2,82,20,5.82,few clouds,0.0,0
61,Port Alfred,ZA,-33.59,26.89,68.5,32,0,5.41,clear sky,0.0,0
62,Bogande,BF,12.97,-0.14,81.18,67,56,13.89,broken clouds,0.0,0
63,Januaria,BR,-15.48,-44.37,58.84,62,0,3.94,clear sky,0.0,0
64,Hilo,US,19.73,-155.09,78.8,69,90,3.36,overcast clouds,0.0,0
65,Jamestown,US,42.1,-79.24,71.01,100,90,6.93,overcast clouds,0.0,0
66,Odessa,UA,46.48,30.73,77.0,36,9,2.24,clear sky,0.0,0
67,Yaan,NG,7.38,8.57,73.51,92,100,8.16,overcast clouds,0.0,0
68,Lokachi,UA,50.74,24.65,61.57,77,99,5.53,light rain,0.18,0
69,Comodoro Rivadavia,AR,-45.87,-67.5,26.6,92,0,3.36,clear sky,0.0,0
70,Praia,CV,14.92,-23.51,77.0,88,20,5.82,few clouds,0.0,0
71,Kavieng,PG,-2.57,150.8,84.38,74,9,11.86,light rain,0.57,0
72,Ulladulla,AU,-35.35,150.47,57.2,76,75,10.29,broken clouds,0.0,0
73,Olafsvik,IS,64.89,-23.71,48.43,78,1,11.79,clear sky,0.0,0
74,Nikolayevsk-Na-Amure,RU,53.14,140.73,56.52,83,100,3.91,overcast clouds,0.0,0
75,Khatanga,RU,71.97,102.5,46.13,78,100,19.26,overcast clouds,0.0,0
76,Hambantota,LK,6.12,81.12,84.2,83,75,9.17,broken clouds,0.0,0
77,Broken Hill,AU,-31.95,141.43,59.0,44,0,9.17,clear sky,0.0,0
78,Inhambane,MZ,-23.86,35.38,68.0,68,75,8.43,broken clouds,0.0,0
79,Alofi,NU,-19.06,-169.92,73.4,94,77,11.41,broken clouds,0.0,0
80,Wamba,NG,8.93,8.6,73.11,92,91,2.91,overcast clouds,0.0,0
81,Kisangani,CD,0.52,25.2,69.8,100,75,2.15,mist,0.0,0
82,Porto Santo,PT,33.07,-16.34,68.0,72,40,12.75,scattered clouds,0.0,0
83,Sur,OM,22.57,59.53,92.5,52,62,7.83,broken clouds,0.0,0
84,Ribeira Grande,PT,38.52,-28.7,64.4,77,16,5.82,few clouds,0.0,0
85,Klaksvik,FO,62.23,-6.59,48.2,87,94,1.12,overcast clouds,0.0,0
86,Bandar-E Lengeh,IR,26.56,54.88,95.0,59,40,9.17,scattered clouds,0.0,0
87,Maceio,BR,-9.67,-35.74,69.8,94,40,1.12,scattered clouds,0.0,0
88,Talnakh,RU,69.49,88.4,55.4,66,40,26.84,scattered clouds,0.0,0
89,Mareeba,AU,-17.0,145.43,77.0,61,40,13.87,scattered clouds,0.0,0
90,Coquimbo,CL,-29.95,-71.34,48.2,87,1,1.12,clear sky,0.0,0
91,Barra Patuca,HN,15.8,-84.28,78.6,88,100,4.81,overcast clouds,0.0,0
92,Victoria,HK,22.29,114.16,91.4,59,20,11.41,few clouds,0.0,0
93,Talara,PE,-4.58,-81.27,64.15,79,1,14.27,clear sky,0.0,0
94,Funchal,PT,32.63,-16.9,68.0,68,20,9.17,few clouds,0.0,0
95,Sharjah,AE,25.36,55.4,96.8,44,0,12.75,clear sky,0.0,0
96,Karratha,AU,-20.74,116.85,77.23,41,0,11.61,clear sky,0.0,0
97,Batsfjord,NO,70.63,29.72,48.2,100,90,6.93,fog,0.0,0
98,Avarua,CK,-21.21,-159.78,75.2,94,98,9.17,overcast clouds,0.0,0
