City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Georgetown,MY,86.0,5.41,100.34,Cititel Penang
6,Kapaa,US,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
9,Ratnagiri,IN,84.33,16.98,73.3,Hotel Landmark
14,Jacksonville,US,80.6,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
16,Progreso,MX,77.0,21.28,-89.67,Playa Linda Hotel
20,Chokurdakh,RU,88.97,70.63,147.92,
25,Honiara,SB,87.8,-9.43,159.95,Heritage Park Hotel
29,Mitsamiouli,KM,75.2,-11.38,43.28,Foyer ADM
31,Sabang,ID,83.12,5.89,95.32,Hotel Citra
36,Dingle,PH,89.22,11.0,122.67,Camp Pasica
42,Atuona,PF,79.48,-9.8,-139.03,Villa Enata
45,Malindi,KE,80.6,-3.22,40.12,African House Resort
57,Butaritari,KI,83.62,3.07,172.79,Isles Sunset Lodge
62,Bogande,BF,81.18,12.97,-0.14,Auberge Wendkouni
64,Hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
66,Odessa,UA,77.0,46.48,30.73,Londonskaya Hotel
70,Praia,CV,77.0,14.92,-23.51,LT Aparthotel
76,Hambantota,LK,84.2,6.12,81.12,Bungalow 63
89,Mareeba,AU,77.0,-17.0,145.43,Trinity Plains Tourist Park
91,Barra Patuca,HN,78.6,15.8,-84.28,
96,Karratha,AU,77.23,-20.74,116.85,ibis Styles Karratha
98,Avarua,CK,75.2,-21.21,-159.78,Paradise Inn
99,Port Hedland,AU,78.8,-20.32,118.57,The Esplanade Hotel
103,Durg,IN,84.72,21.18,81.28,MAITRI HOSTEL
119,San Andres,CO,82.4,12.58,-81.7,Hotel Arena Blanca
121,Luganville,VU,78.8,-15.53,167.17,The Espiritu Hotel
122,Madang,PG,82.89,-5.22,145.8,Comfort Inn Hotel
126,Kampot,KH,89.6,10.62,104.18,Champa Lodge
130,Cabo San Lucas,MX,82.0,22.89,-109.91,Hotel Tesoro Los Cabos
134,Grand Gaube,MU,75.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
138,Ormara,PK,86.43,25.21,64.64,
140,Mastic Beach,US,77.0,40.77,-72.85,Brushwood House by Smith Point Beach
141,Hobyo,SO,81.75,5.35,48.53,Osmani Hotel
148,Natchez,US,77.0,31.56,-91.4,Hampton Inn & Suites Natchez
161,Orotukan,RU,77.09,62.27,151.7,
163,Westport,US,75.2,41.14,-73.36,The Westport Inn
166,Kavaratti,IN,82.4,10.57,72.64,Bismillah Hotel And Lodging
